Series Name,Series Code,Country Name,Country Code,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Eswatini,SWZ,49.61154061,49.63896631,49.62635147,49.57203793,49.48208764,49.38813087,49.28727974,49.17817231,49.06192128,48.93711007,48.80209889,48.65949984,48.50952797,48.34411984,48.1762045,48.10112102,48.11312614,48.12116214,48.12491321,48.13311711,48.15090088,48.17264518
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Ethiopia,ETH,50.23521898,50.25098388,50.26545958,50.27614297,50.28638406,50.29563776,50.30574141,50.31668537,50.32379095,50.32944851,50.33334011,50.33396146,50.33348596,50.33369206,50.3314949,50.32420838,50.31069863,50.29177123,50.26836952,50.2409072,50.21066797,50.17472018
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Faroe Islands,FRO,51.76492748,51.76879881,51.75999237,51.75789942,51.73192032,51.68027075,51.65656566,51.64085546,51.68678428,51.77826428,51.83501405,51.88690944,51.92935344,51.9337587,51.90968995,51.91993549,51.94461118,51.93721397,51.88689075,51.83786293,51.78262448,51.73316034
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Fiji,FJI,50.13519531,50.14903581,50.18111258,50.23228974,50.30228641,50.3717551,50.44029047,50.51166594,50.58477871,50.65569876,50.72536466,50.79599936,50.86806994,50.9393898,51.009054,51.02565772,50.99384769,50.9665422,50.9407011,50.91470874,50.89099661,50.86899158
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Finland,FIN,49.41221803,49.40444278,49.39023067,49.36594647,49.33770722,49.30368509,49.25905592,49.21412891,49.18310922,49.15513732,49.12534663,49.09781918,49.06958832,49.0437672,49.01267562,48.97735526,48.9540472,48.93576545,48.91763631,48.89551848,48.86509162,48.83348156
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,France,FRA,48.32527236,48.34113274,48.35011069,48.35616077,48.35990829,48.3625022,48.36553425,48.36977078,48.37501962,48.38107352,48.38640217,48.39392004,48.40372262,48.41302191,48.42260275,48.43405548,48.4463539,48.45818826,48.47066397,48.48005957,48.48734402,48.49692379
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,French Polynesia,PYF,50.54019374,50.57954426,50.63328034,50.6808089,50.72478377,50.77068878,50.82458668,50.88574885,50.94679394,51.01134596,51.07368171,51.12859972,51.18363003,51.23900483,51.29278082,51.34985513,51.39886723,51.42883494,51.45396283,51.48020504,51.5229396,51.58538163
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Gabon,GAB,50.87940855,50.93207311,50.98297851,51.02241187,51.0566548,51.08837196,51.10286328,51.08672986,51.03528221,50.94873059,50.83919301,50.72016925,50.60010929,50.48393086,50.37388014,50.2675874,50.16631903,50.07457042,49.99379018,49.92563831,49.86524518,49.8083561
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Gambia, The",GMB,49.75384258,49.74093873,49.72942838,49.71702547,49.69966248,49.67986487,49.65911533,49.63493056,49.60856895,49.57919759,49.54837764,49.51656781,49.4799138,49.44388508,49.40803343,49.37086481,49.33722668,49.30756314,49.27866768,49.24964422,49.25152228,49.28672769
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Georgia,GEO,47.00374027,47.01709429,47.0391767,47.0654456,47.08478193,47.09772263,47.11602154,47.14313898,47.17557333,47.166116,47.10820964,47.04319744,46.97274913,46.89971986,46.82462398,46.74611606,46.67394703,46.60886574,46.53602784,46.458793,46.43500525,46.47457667
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Germany,DEU,49.3419449,49.34025232,49.34113804,49.3379389,49.33227857,49.32057579,49.30042689,49.26743832,49.21988436,49.16229365,49.09672525,49.02844365,48.95926214,48.89005701,48.82327797,48.76473431,48.71721544,48.68129244,48.65896996,48.64566662,48.63740938,48.63374483
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Ghana,GHA,49.87208398,49.87518819,49.87916403,49.88114125,49.87919428,49.87575715,49.87263614,49.86801434,49.8623652,49.855064,49.8476028,49.83945053,49.82552105,49.81081941,49.79548088,49.77900585,49.76140531,49.74184724,49.72236936,49.7019904,49.67995974,49.65446147
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Gibraltar,GIB,49.94946246,49.9464324,49.94649791,49.93116108,49.91729968,49.89877922,49.88177491,49.88622386,49.92296315,49.95834747,49.95024876,49.91325195,49.89444053,49.88156657,49.86512271,49.85331378,49.84959611,49.82678786,49.79802201,49.75442564,49.70242363,49.74568017
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Greece,GRC,48.93992482,48.98715363,48.99993645,49.00840021,49.02064473,49.03910579,49.06179144,49.09412647,49.13824204,49.19000908,49.25131127,49.32012386,49.38956113,49.46172474,49.53345441,49.59854368,49.65780495,49.7104319,49.75380768,49.78547745,49.8070448,49.81962002
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Greenland,GRL,52.51124571,52.61632559,52.70945632,52.75607445,52.76501404,52.77320841,52.78811074,52.80794347,52.8425643,52.88559254,52.92798804,52.98642695,53.04963532,53.10052798,53.13195942,53.16886506,53.21504638,53.24766643,53.2831569,53.34050204,53.40051268,53.44766431
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Grenada,GRD,50.00159441,50.04092769,50.06833087,50.09859522,50.1403503,50.18235046,50.22923162,50.27651706,50.32295799,50.36299115,50.40548002,50.45597731,50.47571445,50.46225574,50.44808763,50.43544417,50.43157819,50.42810238,50.42185617,50.41475078,50.3875969,50.34464868
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guam,GUM,50.3254276,50.35887272,50.41452216,50.46849796,50.50214017,50.53497503,50.56609602,50.59948327,50.6335687,50.6638572,50.69354296,50.72472517,50.75103848,50.77105359,50.78039156,50.78567397,50.78427205,50.77236514,50.75668886,50.73905193,50.71756796,50.6915381
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guatemala,GTM,49.48976984,49.50437809,49.52150349,49.52892314,49.52856872,49.52991856,49.53217125,49.53527278,49.53939673,49.54483863,49.55168807,49.55974175,49.56924996,49.5802807,49.59255553,49.60551541,49.61915111,49.63304133,49.64689962,49.66087279,49.67421099,49.68720632
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guinea,GIN,49.45415514,49.40841298,49.35977644,49.31059421,49.26097965,49.21632094,49.17273804,49.12904681,49.09589517,49.07380355,49.0594782,49.04442675,49.02630076,49.01122337,48.9970485,48.98384658,48.9824851,49.01337117,49.05207979,49.05862279,49.04265551,49.14411648
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guinea-Bissau,GNB,49.38624579,49.36214073,49.33982463,49.31571712,49.28899637,49.26131461,49.2320741,49.20239541,49.17097313,49.13830221,49.10532172,49.0720732,49.04046656,49.00916451,48.97640536,48.94124525,48.90625851,48.87371504,48.84243535,48.81264285,48.7859324,48.76314241
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guyana,GUY,48.96367867,48.92507398,48.90843224,49.17928321,49.14489112,48.90678308,49.06012091,49.21930358,49.38404905,49.55861497,49.6663826,49.70103328,49.73500265,49.76745672,49.79884638,49.8302096,49.86200613,49.8950256,49.92925,49.96147586,49.95416422,49.90964835
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Haiti,HTI,49.53570981,49.55506274,49.5754281,49.59597464,49.61432186,49.63087089,49.64719029,49.66194319,49.67496547,49.68673273,49.69624196,49.70447983,49.6881299,49.66889119,49.67157505,49.67355304,49.67490758,49.67530372,49.67089733,49.66423426,49.65853671,49.65112842
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Honduras,HND,50.4881116,50.50135017,50.51471764,50.52596043,50.53514554,50.54391669,50.55213101,50.55988458,50.56626722,50.57220693,50.57792742,50.5815944,50.58297113,50.58182002,50.57876809,50.57456266,50.56987554,50.56492645,50.56104858,50.55683369,50.55057702,50.54587977
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Hong Kong SAR, China",HKG,46.07332353,46.12136934,46.15658427,46.18222596,46.19871136,46.21307002,46.22039727,46.29724326,46.44732048,46.59526668,46.73451699,46.88467373,47.07224935,47.27565139,47.47392343,47.67025602,47.87776045,48.10808154,48.35106951,48.5946547,48.83624937,49.07135764
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Hungary,HUN,48.01042568,47.93395035,47.92033248,47.87853737,47.80939896,47.74547114,47.70462952,47.66777466,47.62923746,47.60262603,47.57867945,47.53500994,47.5016334,47.4924862,47.48364595,47.48229589,47.48527478,47.48202839,47.48449476,47.50338553,47.52878803,47.55719592
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Iceland,ISL,51.25623828,51.25683503,51.29640084,51.27531363,51.09138508,50.75924245,50.42377299,50.24436658,50.16847554,50.15214922,50.16901417,50.21093478,50.29670188,50.54861982,50.87200793,50.94419486,50.65346795,50.27152231,50.07952497,50.02363691,50.0326618,50.05644409
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,India,IND,51.59429433,51.61424351,51.63306321,51.64621746,51.65431134,51.66076804,51.66626651,51.67136747,51.67727375,51.68509885,51.69447188,51.70431245,51.71360516,51.72210121,51.72984295,51.73661568,51.74214898,51.74585429,51.74766281,51.74766558,51.7461646,51.74294584
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Indonesia,IDN,50.34577237,50.3564826,50.36732305,50.37354116,50.3756582,50.37655097,50.37606161,50.37490239,50.37316879,50.3728957,50.37092699,50.36482663,50.35840924,50.35444804,50.35021502,50.34372195,50.33935515,50.33430018,50.32432994,50.31624579,50.30929274,50.30153385
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Iran, Islamic Rep.",IRN,50.49610861,50.52895228,50.56110255,50.58922278,50.61339168,50.63595706,50.65722875,50.68384246,50.71937465,50.75055321,50.77589494,50.80144968,50.81485085,50.81619024,50.81726149,50.8167834,50.80321978,50.76897272,50.72019974,50.66510117,50.64690948,50.67339708
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Iraq,IRQ,50.09508469,50.07032041,50.04484575,50.01670455,49.9850212,49.96015513,49.94784348,49.92414947,49.88683544,49.8528175,49.81892366,49.78469217,49.75454084,49.72875997,49.71603321,49.7314476,49.76350782,49.78608078,49.79642806,49.79871123,49.78283087,49.75280291
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Ireland,IRL,49.56074017,49.55191249,49.54017483,49.53287559,49.52548419,49.50660687,49.49007462,49.46758942,49.47545167,49.51630393,49.54096242,49.59213344,49.66594726,49.76194455,49.89228262,50.00658282,50.01249172,49.89561333,49.76254689,49.68233299,49.67177316,49.69229709
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Isle of Man,IMN,49.52614205,49.53063622,49.53239892,49.54308794,49.5470009,49.5417564,49.5386459,49.5424258,49.55540193,49.58285796,49.61464583,49.65026675,49.65047478,49.61225351,49.56156933,49.48212084,49.3954729,49.31813889,49.23802382,49.15382543,49.07298239,48.9842666
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Israel,ISR,49.87765964,49.85530995,49.83451307,49.80971591,49.78115607,49.75205364,49.71674869,49.67928681,49.64303726,49.60439651,49.56512725,49.5259559,49.48676015,49.45951243,49.44325567,49.42509375,49.40381966,49.37988932,49.35704836,49.33628664,49.3160516,49.29812237
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Italy,ITA,48.76373098,48.73919083,48.71871247,48.70461278,48.6727811,48.61007507,48.54814712,48.49644146,48.46278913,48.44027531,48.41040672,48.39316168,48.40346559,48.42059498,48.43159796,48.44289276,48.45177306,48.44952591,48.43093825,48.40444631,48.38568619,48.37955327
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Jamaica,JAM,49.60000028,49.6146508,49.62594436,49.636449,49.64779228,49.65634943,49.66038046,49.65665812,49.64243684,49.62156467,49.60107862,49.58788043,49.58154955,49.57491567,49.56573662,49.55818128,49.55570593,49.55688804,49.558525,49.55619086,49.5479948,49.53380526
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Japan,JPN,48.59946648,48.60471495,48.61010114,48.61901237,48.63172932,48.64462301,48.65615586,48.66558424,48.67478289,48.68461219,48.6950396,48.70696354,48.72160806,48.73976016,48.76077387,48.7832478,48.80744515,48.8351444,48.86496406,48.89472392,48.92389068,48.9518602
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Jordan,JOR,51.80739737,51.84795356,51.88873428,51.92793356,51.96599574,52.0041788,52.04245887,52.0811026,51.94754555,51.57868663,51.36961143,51.39533445,51.42251233,51.45086058,51.48049721,51.5111632,51.54367968,51.57836512,51.61046073,51.65755301,51.7292474,51.81759375
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kazakhstan,KAZ,48.12403837,48.08381126,48.05280695,48.01972437,47.97443902,47.9256628,47.87041308,47.8177535,47.77358251,47.72771769,47.68660968,47.64663236,47.603209,47.5643183,47.53614002,47.51732711,47.51093805,47.51883721,47.53125628,47.54532614,47.56030118,47.58228775
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kenya,KEN,49.56282531,49.5781145,49.59182684,49.60053737,49.61590128,49.63647953,49.6507294,49.66446316,49.68167452,49.69431623,49.70423644,49.71474706,49.72047595,49.71788785,49.70963124,49.69772557,49.68424996,49.6686718,49.65012769,49.63046895,49.61021602,49.58959405
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kiribati,KIR,48.7251585,48.67079473,48.6268711,48.60714257,48.61812025,48.63993619,48.66723482,48.69716469,48.73853111,48.79049695,48.83979286,48.88369087,48.92819112,48.96033813,48.97755035,48.98821546,48.99633304,49.02713826,49.06156468,49.07106954,49.07575758,49.12460925
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Korea, Dem. People's Rep.",PRK,49.50290793,49.454913,49.39894192,49.34054129,49.28186118,49.22312664,49.16403012,49.10442487,49.04921096,49.00181863,48.95970189,48.92348785,48.89364949,48.87078739,48.85344329,48.83796141,48.82235388,48.80569182,48.78774125,48.76887517,48.74699488,48.72094112
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Korea, Rep.",KOR,49.92193116,49.94190349,49.95989175,49.98561786,50.01843957,50.05065942,50.08336389,50.08010389,50.03387295,49.98088256,49.92574775,49.86825674,49.84825367,49.87561646,49.91108632,49.94591627,49.98007361,50.02204969,50.07414522,50.12689174,50.17708753,50.22667901
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kosovo,XKX,49.83623685,49.84425475,49.86179429,49.87239597,49.87625456,49.88080842,49.88641835,49.89267373,49.90142361,49.90947983,49.91459701,49.91880347,50.01029253,50.18297982,50.34413348,50.49590603,50.64118187,50.78348538,50.92365134,51.0594887,51.19060898,51.26254173
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kuwait,KWT,60.81108527,60.95589436,61.25660598,61.65639143,61.51786407,60.80029984,60.83881638,59.84205152,57.83683151,57.2804522,57.0962125,56.89158907,56.92957291,57.26826564,57.66168854,58.10491513,58.60208707,59.04765271,59.15520035,59.00297215,58.85167464,58.69996797
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kyrgyz Republic,KGZ,49.09826724,49.10516545,49.10729767,49.10202869,49.08924151,49.07034678,49.04819451,49.01916828,48.98755972,48.9589409,48.93131154,48.90739681,48.88458204,48.86301194,48.84430863,48.82432954,48.80613557,48.79120697,48.77400215,48.75892921,48.74780196,48.73281723
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Lao PDR,LAO,50.39764393,50.40466356,50.41158434,50.41845921,50.42309605,50.42653407,50.43201178,50.43761112,50.42803851,50.40239416,50.37385522,50.34514295,50.31868841,50.29276412,50.26565954,50.23925124,50.21302114,50.18910058,50.18450402,50.1927997,50.19613453,50.19657746
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Latvia,LVA,46.38470463,46.31993165,46.23542212,46.15056703,46.06639699,45.98247856,45.89870867,45.81529201,45.74386673,45.68168326,45.62361587,45.58521195,45.56156705,45.54140712,45.5306239,45.52811903,45.53296795,45.54950682,45.56527379,45.57097416,45.585312,45.61332865
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Lebanon,LBN,48.4969504,48.51902441,48.53120906,48.67120831,48.92868048,49.16883442,49.3919665,49.59748021,49.68387123,49.66235247,49.64028027,49.6185969,49.59910325,49.58299461,49.57061862,49.56262548,49.56269926,49.55936235,49.54617658,49.53080121,49.51529978,49.49829126
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Lesotho,LSO,49.33141067,49.34125343,49.34053503,49.33077294,49.31303989,49.29303511,49.27038555,49.24459092,49.21264465,49.17116656,49.12372403,49.07426447,49.03000721,48.99149848,48.96702479,48.92246649,48.8906201,48.90099443,48.9055014,48.90714139,48.90660184,48.90518652
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Liberia,LBR,49.79937507,49.77789185,49.75748803,49.73517082,49.71138532,49.68679058,49.66008988,49.63357991,49.60592097,49.5767749,49.54775679,49.51125886,49.4713375,49.43785841,49.40308735,49.36750222,49.33357875,49.30239493,49.27503974,49.26167836,49.25091461,49.23166651
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Libya,LBY,50.60025621,50.62164481,50.64605312,50.67692806,50.70129595,50.71219256,50.74147639,50.79556897,50.84721219,50.88331742,50.90952611,50.87595093,50.83204097,50.82449568,50.80875093,50.78712657,50.77389326,50.92209882,51.236883,51.56852122,51.91233609,52.26578664
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Liechtenstein,LIE,49.58934066,49.57606496,49.60006193,49.63879216,49.66082607,49.66085143,49.62376027,49.58104671,49.54172957,49.50279846,49.48911108,49.46530714,49.44608362,49.41275403,49.35736279,49.31721195,49.29060735,49.27896425,49.27405248,49.24411765,49.21793844,49.20901246
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Lithuania,LTU,46.96847881,46.92862508,46.84659289,46.74784834,46.63370337,46.51307476,46.40029751,46.29722667,46.20162695,46.12004072,46.05066821,45.99509387,45.95741536,45.94059574,45.94777659,45.99204625,46.05646459,46.12129183,46.18600353,46.25018193,46.31971282,46.39500335
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Luxembourg,LUX,50.3303742,50.32949019,50.31765596,50.29751296,50.27594409,50.24325698,50.21059362,50.1489266,50.08101513,50.02725267,49.94506064,49.83674446,49.74283629,49.67702283,49.60287331,49.55967058,49.53810721,49.50909951,49.46044894,49.3731043,49.31387961,49.29813031
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Macao SAR, China",MAC,46.92103204,46.93893304,46.97072084,47.06616259,47.15963815,47.25708532,47.3624834,47.47650913,47.59809788,47.72656031,47.85986142,47.95211234,47.97370163,47.96867893,47.9598819,47.95470863,47.9608977,47.96641146,47.96847301,47.97063128,47.97438093,47.99918929
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Madagascar,MDG,50.10253037,50.11450027,50.12696289,50.1379102,50.14623299,50.15331182,50.16043681,50.16705624,50.17426925,50.18459541,50.19445935,50.20220011,50.20903497,50.21475968,50.22036845,50.22736811,50.23425219,50.23879359,50.24402801,50.24751316,50.24748526,50.24569314
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Malawi,MWI,48.63860238,48.62204849,48.6077739,48.59372576,48.57759601,48.56048266,48.54223554,48.5223044,48.50348034,48.4832954,48.45730936,48.42719846,48.3922801,48.35335954,48.31347566,48.30195155,48.33003984,48.37269733,48.42156473,48.47478463,48.53234308,48.59420333
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Malaysia,MYS,51.09823818,51.1306202,51.16317946,51.19501817,51.22746126,51.26129737,51.29622084,51.33089486,51.36420061,51.39741562,51.43251842,51.47015332,51.50933408,51.49578959,51.42628245,51.35288214,51.27608446,51.19593253,51.10948865,51.01629137,50.91582481,50.8070781
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Maldives,MDV,57.52624636,57.67225294,57.75661985,57.80364236,57.7764937,57.70613112,57.61537649,57.50765642,57.38425582,57.02421593,56.41161277,55.76460848,55.0837309,54.36071247,53.59189986,52.77430904,52.00269719,51.64583184,51.63718205,51.63007274,51.62821092,51.63648007
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Mali,MLI,50.48696998,50.49419121,50.50093667,50.50501706,50.50830985,50.51160315,50.51259602,50.51403952,50.51635688,50.51866225,50.51891689,50.51724673,50.51631506,50.51453721,50.51188854,50.50941303,50.50758096,50.50580966,50.50324283,50.49866859,50.49071922,50.47703591
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Malta,MLT,52.13000154,52.01272715,51.79137609,51.55201684,51.2929579,51.03452159,50.77303001,50.51896824,50.28928795,50.08810925,49.91428379,49.7741819,49.6710487,49.60722022,49.58260865,49.58102897,49.59934046,49.62482448,49.64481235,49.66025179,49.67099004,49.67487337
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Marshall Islands,MHL,51.05487262,51.08917955,51.1137217,51.14022536,51.16223445,51.17087333,51.18665811,51.20218579,51.21680319,51.2307213,51.23460338,51.24124521,51.21124757,51.18392327,51.20224469,51.2195122,51.2267562,51.24132727,51.25746303,51.27080542,51.27899295,51.28553838
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Mauritania,MRT,49.01097708,48.98380793,48.95781002,48.93257044,48.90524109,48.87679492,48.84784631,48.81851493,48.78860546,48.75877614,48.80181116,48.92676426,49.06963407,49.2300645,49.40528915,49.52827137,49.59504795,49.67082288,49.75420615,49.84282041,49.93512783,50.03684161
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Mauritius,MUS,49.30867916,49.34472233,49.38027227,49.41251073,49.44012611,49.46703626,49.49513529,49.52236897,49.54891716,49.57538249,49.59980446,49.62448571,49.65324585,49.68668644,49.72320731,49.75916586,49.79106824,49.81892583,49.84460724,49.8685545,49.89229901,49.91585542
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Mexico,MEX,48.77877794,48.81896502,48.87958808,48.91639755,48.93417841,48.94739433,48.95491307,48.95948933,48.96208809,48.96199942,48.96001897,48.95474159,48.95159662,48.95450339,48.95796889,48.95924141,48.95805927,48.95497259,48.94977347,48.94358834,48.93755994,48.93192655
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Micronesia, Fed. Sts.",FSM,50.26715952,50.29390706,50.32112465,50.34342201,50.36104175,50.37580368,50.3870821,50.39739818,50.40816701,50.41479067,50.41762141,50.42127411,50.4201212,50.42552008,50.43788637,50.44461892,50.4582914,50.47322877,50.4729087,50.46375386,50.44556754,50.42162433
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Moldova,MDA,47.61059897,47.46804351,47.50559752,47.53372819,47.55163938,47.56060828,47.55979849,47.55530929,47.544645,47.53416478,47.52752274,47.51766697,47.50129548,47.47912517,47.4518036,47.42201322,47.39524311,47.37003365,47.36662635,47.37363281,47.36893878,47.36342165
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Monaco,MCO,49.0060051,49.0159734,49.00872109,48.99551763,48.9940317,49.02008422,49.05991206,49.08324266,49.06120188,49.03316867,48.98270893,48.91442039,48.84863464,48.80404926,48.77910991,48.76347296,48.74574365,48.72903768,48.71882368,48.70961753,48.68770456,48.67155714
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Mongolia,MNG,49.59404019,49.62873927,49.66386236,49.6868919,49.69461038,49.69583628,49.69815699,49.70542194,49.71743024,49.73641136,49.76501863,49.80243723,49.81916878,49.80543463,49.78619052,49.76848325,49.75434306,49.74392939,49.73449033,49.72330112,49.70502486,49.67275351
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Montenegro,MNE,48.69363177,48.71890026,48.74270326,48.76030305,48.76673714,48.76810059,48.76923368,48.76349836,48.7594081,48.75525676,48.73477808,48.71586671,48.70405233,48.67518402,48.6384065,48.59595235,48.54705989,48.49978274,48.45346971,48.44145103,48.47369444,48.51555527
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Morocco,MAR,50.32938917,50.34353488,50.35588545,50.35693186,50.34392725,50.33041016,50.31732464,50.30095623,50.28180857,50.26337045,50.24478018,50.22438055,50.20095417,50.17493591,50.14848747,50.12369915,50.10033399,50.07982413,50.07352382,50.06803148,50.04996107,50.02931722
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Mozambique,MOZ,49.06415981,49.06066239,49.05119561,49.03911249,49.03121879,49.01194602,48.96367204,48.90737506,48.86092257,48.81264575,48.76639457,48.72615262,48.69704382,48.68575804,48.68828103,48.68724734,48.68129226,48.67938007,48.67650523,48.67515891,48.6810232,48.69294379
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Myanmar,MMR,49.76543258,49.78368932,49.80266438,49.81750639,49.83154791,49.84520163,49.85800893,49.87074904,49.88311895,49.89428478,49.90488406,49.91578391,49.92477778,49.93236268,49.92196306,49.91055646,49.9167219,49.9259447,49.93796163,49.95189166,49.96658149,49.98168634
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Namibia,NAM,48.24920959,48.26455022,48.27692602,48.28565169,48.29648997,48.30812329,48.31971221,48.33031352,48.34023703,48.35296733,48.36897397,48.38440399,48.39694351,48.41122887,48.42898293,48.44508454,48.45662699,48.46069393,48.45896115,48.45112703,48.43383064,48.41623743
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Nauru,NRU,50.7972845,50.84325793,50.88103938,50.91493571,50.93928212,50.95873994,50.99239311,51.0147519,51.00548446,51.02861418,51.06281118,51.02596519,50.98134948,50.98211668,51.03973445,51.10548359,51.21429959,51.3471603,51.43686502,51.51778809,51.58921843,51.61632732
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Nepal,NPL,47.94568342,47.84741223,47.63577185,47.53042539,47.54730044,47.56624337,47.59118653,47.67363658,47.84405464,48.07941697,48.34145814,48.59481445,48.81927099,49.02763875,49.23861144,49.44500855,49.64570835,49.83320595,50.0018401,50.15145481,50.28472088,50.39255178
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Netherlands,NLD,49.70241427,49.68946438,49.68251272,49.66959549,49.65046944,49.62848106,49.60565575,49.58370369,49.56322316,49.54523389,49.52854876,49.51243819,49.50052407,49.4946544,49.4891126,49.48650596,49.48654809,49.48593427,49.48648234,49.4850219,49.47972976,49.47234438
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,New Caledonia,NCL,49.73133299,49.77831828,49.84060921,49.91204525,50.0014041,50.09126109,50.1804418,50.27099409,50.34971759,50.40811306,50.46166095,50.51726792,50.57415865,50.6062823,50.58974146,50.55360172,50.5147882,50.43383814,50.4020549,50.46509151,50.54232006,50.62592096
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,New Zealand,NZL,49.56949354,49.56131194,49.55123685,49.43968926,49.26256467,49.16597349,49.10870227,49.04644065,48.98120263,48.92190883,48.89417552,48.89688353,48.90652775,48.91300862,48.9159411,48.92767821,48.95341554,48.98812688,49.02329073,49.04333173,49.04555658,49.05404929
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Nicaragua,NIC,49.2745228,49.27538559,49.28062085,49.28525595,49.2840409,49.2809078,49.27743306,49.27466398,49.27280792,49.27151922,49.27056265,49.2698172,49.26929741,49.26906708,49.26905993,49.26910667,49.26926074,49.26965441,49.27948583,49.2988622,49.3178749,49.33609538
